month,subdivison,line,day_type,reporting_category,subcategory,delays
2023-06,A DIVISION,1,1,Crew Availability,Crew Availability,80
2023-06,A DIVISION,1,1,External Factors,External Debris on Roadbed,62
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Braking,16
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Door-Related,43
2023-06,A DIVISION,1,1,Infrastructure & Equipment,"Fire, Smoke, Debris",34
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Other - CE,34
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Other Infrastructure,14
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Other - Sig,47
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Propulsion,11
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Rail and Roadbed,26
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Service Delivery,56
2023-06,A DIVISION,1,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,23
2023-06,A DIVISION,1,1,Operating Conditions,,278
2023-06,A DIVISION,1,1,Planned ROW Work,Other Planned ROW Work,1
2023-06,A DIVISION,1,1,Planned ROW Work,Subways Maintenance,191
2023-06,A DIVISION,1,1,Planned ROW Work,Work Equipment,5
2023-06,A DIVISION,1,1,Police & Medical,Persons on Roadbed,171
2023-06,A DIVISION,1,1,Police & Medical,"Public Conduct, Crime, Police Response",319
2023-06,A DIVISION,1,1,Police & Medical,Sick/Injured Customer,31
2023-06,A DIVISION,1,2,Crew Availability,Crew Availability,45
2023-06,A DIVISION,1,2,External Factors,External Debris on Roadbed,9
2023-06,A DIVISION,1,2,Infrastructure & Equipment,Door-Related,2
2023-06,A DIVISION,1,2,Infrastructure & Equipment,"Fire, Smoke, Debris",4
2023-06,A DIVISION,1,2,Infrastructure & Equipment,Other - CE,3
2023-06,A DIVISION,1,2,Infrastructure & Equipment,Other Infrastructure,21
2023-06,A DIVISION,1,2,Infrastructure & Equipment,Other - Sig,4
2023-06,A DIVISION,1,2,Infrastructure & Equipment,Rail and Roadbed,10
2023-06,A DIVISION,1,2,Infrastructure & Equipment,Service Delivery,3
2023-06,A DIVISION,1,2,Operating Conditions,,35
2023-06,A DIVISION,1,2,Planned ROW Work,Subways Maintenance,38
2023-06,A DIVISION,1,2,Planned ROW Work,Work Equipment,1
2023-06,A DIVISION,1,2,Police & Medical,Persons on Roadbed,2
2023-06,A DIVISION,1,2,Police & Medical,"Public Conduct, Crime, Police Response",51
2023-06,A DIVISION,1,2,Police & Medical,Sick/Injured Customer,22
2023-06,A DIVISION,2,1,Crew Availability,Crew Availability,94
